Matrix A Rows,Matrix A Cols,Matrix B Rows,Matrix B Cols,Time (micro)
2,2,2,2,2
4,4,4,4,16
8,8,8,8,19
16,16,16,16,58
32,32,32,32,285
64,64,64,64,2747
128,128,128,128,18247
256,256,256,256,145744
512,512,512,512,1193197
