Matrix A Rows,Matrix A Cols,Matrix B Rows,Matrix B Cols,Time (micro)
2,2,2,2,1
4,4,4,4,1
8,8,8,8,8
16,16,16,16,47
32,32,32,32,307
64,64,64,64,1745
128,128,128,128,14739
256,256,256,256,89511
512,512,512,512,762150
