Matrix A Rows,Matrix A Cols,Matrix B Rows,Matrix B Cols,Time (micro)
2,2,2,2,12
4,4,4,4,71
8,8,8,8,476
16,16,16,16,3661
32,32,32,32,25317
64,64,64,64,162285
128,128,128,128,1152861
256,256,256,256,8347723
512,512,512,512,56419905
