Matrix A Rows,Matrix A Cols,Matrix B Rows,Matrix B Cols,Time (micro)
64,128,128,64,7557
64,256,256,64,9445
128,64,64,128,8426
128,256,256,128,36077
256,64,64,256,38623
256,128,128,256,74822
