Matrix A Rows,Matrix A Cols,Matrix B Rows,Matrix B Cols,Time (micro)
2,2,2,2,0
4,4,4,4,1
8,8,8,8,4
16,16,16,16,25
32,32,32,32,451
64,64,64,64,1443
128,128,128,128,11637
256,256,256,256,80166
512,512,512,512,563896
