Matrix A Rows,Matrix A Cols,Matrix B Rows,Matrix B Cols,Time (micro)
64,128,128,64,4038
64,256,256,64,7892
128,64,64,128,8998
128,256,256,128,33136
256,64,64,256,32089
256,128,128,256,65558
