Matrix A Rows,Matrix A Cols,Matrix B Rows,Matrix B Cols,Time (micro)
2,2,2,2,27
4,4,4,4,70
8,8,8,8,473
16,16,16,16,3589
32,32,32,32,27188
64,64,64,64,164154
128,128,128,128,1169937
256,256,256,256,8141831
512,512,512,512,57989717
