Matrix A Rows,Matrix A Cols,Matrix B Rows,Matrix B Cols,Time (micro)
2,2,2,2,1
4,4,4,4,1
8,8,8,8,5
16,16,16,16,27
32,32,32,32,184
64,64,64,64,1420
128,128,128,128,12416
256,256,256,256,93946
512,512,512,512,776209
