Matrix A Rows,Matrix A Cols,Matrix B Rows,Matrix B Cols,Time (micro)
2,2,2,2,1
4,4,4,4,2
8,8,8,8,6
16,16,16,16,28
32,32,32,32,189
64,64,64,64,1435
128,128,128,128,11984
256,256,256,256,93997
512,512,512,512,728513
